country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,55995,2460,49481,4054,1095,1416,62,322332,8152,39540117
Albania,Europe,118017,2060,81061,34896,46,41041,716,509677,177243,2875580
Algeria,Africa,115410,3040,79994,32376,14,2599,68,,,44404834
Andorra,Europe,11289,113,10795,381,12,145943,1461,193595,2502780,77352
Angola,Africa,21407,521,19948,938,14,638,16,406827,12116,33576529
Anguilla,North America,21,,18,3,,1391,,11052,732066,15097
Antigua And Barbuda,North America,963,27,598,338,45,9777,274,16075,163200,98499
Argentina,South America,2201886,53836,1993215,154835,3469,48407,1184,8032713,176593,45487062
Armenia,Asia,179287,3277,166702,9308,,60424,1104,780085,262908,2967146
Aruba,North America,8421,79,8074,268,8,78638,738,114033,1064883,107085
Australia,Australia/Oceania,29137,909,26231,1997,,1133,35,14965580,582149,25707455
Austria,Europe,495464,8892,459288,27284,364,54793,983,6033827,667271,9042548
Azerbaijan,Asia,240671,3286,231061,6324,,23587,322,2716017,266188,10203370
Bahamas,North America,8765,186,7645,934,2,22140,470,71942,181725,395883
Bahrain,Asia,131683,485,124823,6375,61,75568,278,3321242,1905927,1742586
Bangladesh,Asia,559168,8571,513127,37470,,3372,52,4283246,25827,165841372
Barbados,North America,3442,38,3215,189,,11967,132,133672,464747,287623
Belarus,Europe,303270,2103,294143,7024,,32102,223,5113709,541298,9447131
Belgium,Europe,809861,22545,54642,732674,503,69665,1939,10132224,871580,11625125
Belize,North America,12383,316,12004,63,,30752,785,91331,226810,402676
Benin,Africa,6501,81,5552,868,35,527,7,520466,42162,12344364
Bermuda,North America,740,12,699,29,,11913,193,182725,2941674,62116
Bhutan,Asia,868,1,866,1,,1116,1,563755,725022,777570
Bolivia,South America,260059,11974,205628,42457,71,22068,1016,809636,68703,11784623
Bosnia And Herzegovina,Europe,144831,5584,121441,17806,,44340,1710,717043,219521,3266393
Botswana,Africa,34999,447,29916,4636,1,14676,187,880029,369016,2384799
Brazil,South America,11525477,279602,10111954,1133921,8318,53953,1309,28600000,133882,213621654
British Virgin Islands,North America,153,1,131,21,,5038,33,13223,435368,30372
Brunei Darussalam,Asia,199,3,185,11,,452,7,110176,250161,440421
Bulgaria,Europe,283194,11472,227059,44663,577,40975,1660,1860746,269227,6911451
Burkina Faso,Africa,12378,144,11974,260,,581,7,,,21302241
Burundi,Africa,2461,3,773,1685,,203,,90019,7417,12136984
Cabo Verde,Africa,16120,156,15511,453,23,28774,278,125300,223660,560225
Cambodia,Asia,1430,1,818,611,,85,,555192,32888,16881123
Cameroon,Africa,40622,601,35261,4760,53,1504,22,905000,33511,27006405
Canada,North America,913047,22495,858922,31630,553,24044,592,25996052,684564,37974620
Caribbean Netherlands,North America,804,6,545,253,,30461,227,7893,299045,26394
Cayman Islands,North America,474,2,437,35,,7153,30,77607,1171197,66263
Central African Republic,Africa,5023,63,4920,40,2,1028,13,37104,7590,4888515
Chad,Africa,4328,155,3803,370,,258,9,,,16753724
Channel Islands,Europe,4044,86,3965,-7,1,23110,491,398127,2275154,174989
Chile,South America,896231,21772,840668,33791,2053,46602,1132,10189233,529820,19231484
China Hong Kong Sar,Asia,11312,203,10769,340,13,1500,27,9296529,1233007,7539721
China Macao Sar,Asia,48,,47,1,,73,,4369,6665,655539
China,Asia,90062,4636,85244,182,,63,3,160000000,111163,1439323776
Colombia,South America,2305884,61243,2206210,38431,1982,44981,1195,12020903,234492,51263550
Comoros,Africa,3646,146,3448,52,,4131,165,,,882535
Congo,Africa,9329,131,7514,1684,,1662,23,92500,16480,5612763
Costa Rica,North America,209093,2862,188967,17264,127,40784,558,729069,142208,5126791
Cote D Ivoire,Africa,37908,213,34616,3079,,1413,8,464302,17303,26833559
Croatia,Europe,251174,5685,241147,4342,72,61451,1391,1431342,350186,4087371
Cuba,North America,62206,373,57550,4283,87,5494,33,2670824,235902,11321740
Curacao,North America,5138,22,4719,397,8,31222,134,55793,339033,164565
Cyprus,Asia,39869,240,2057,37572,40,32854,198,2586414,2131302,1213537
Czech Republic,Europe,1412962,23657,1214530,174775,1993,131770,2206,9931725,926209,10722980
Democratic Republic Of The Congo,Africa,27077,717,23002,3358,,296,8,,,91453715
Denmark,Europe,221071,2393,210114,8564,40,38073,412,20628721,3552655,5806564
Djibouti,Africa,6294,63,5987,244,,6306,63,120552,120786,998066
Dominica,North America,156,,141,15,,2163,,12325,170915,72112
Dominican Republic,North America,246299,3226,202547,40526,166,22546,295,1254317,114819,10924285
Ecuador,South America,302498,16240,263164,23094,513,16965,911,1069693,59992,17830687
Egypt,Africa,191555,11340,147767,32448,90,1847,109,1000000,9645,103683741
El Salvador,North America,62377,1954,59339,1084,42,9583,300,804558,123603,6509234
Equatorial Guinea,Africa,6562,98,5938,526,24,4573,68,104454,72791,1434978
Eritrea,Africa,3055,7,2701,347,,853,2,23693,6617,3580820
Estonia,Europe,86086,728,60007,25351,69,64865,549,1038888,782788,1327164
Ethiopia,Africa,176618,2555,143828,30235,531,1510,22,2233489,19098,116948417
Faeroe Islands,Europe,661,1,657,3,,13491,20,235827,4813385,48994
Falkland Islands Malvinas,South America,54,,54,0,,15211,,7077,1993521,3550
Fiji,Australia/Oceania,66,2,60,4,,73,2,33309,36968,901011
Finland,Europe,67334,800,46000,20534,50,12139,144,3596402,648376,5546786
France,Europe,4078133,90762,273771,3713600,4219,62380,1388,57688372,882419,65375268
French Guiana,South America,16764,87,9995,6682,6,55131,286,153467,504701,304075
French Polynesia,Australia/Oceania,18546,141,4842,13563,3,65754,500,26355,93441,282050
Gabon,Africa,16945,101,14780,2064,27,7490,45,581364,256972,2262361
Gambia,Africa,5019,153,4525,341,3,2037,62,51683,20976,2463909
Georgia,Asia,275685,3658,268693,3334,,69202,918,3036115,762122,3983763
Germany,Europe,2585385,74115,2374200,137070,2848,30788,883,46319641,551604,83972604
Ghana,Africa,87985,691,83621,3673,67,2791,22,945743,29999,31525924
Gibraltar,Europe,4263,94,4143,26,,126559,2791,199224,5914499,33684
Greece,Europe,222281,7137,190188,24956,564,21400,687,5868332,564964,10387083
Greenland,North America,31,,31,0,,545,,19792,348212,56839
Grenada,North America,154,1,151,2,,1364,9,23330,206661,112890
Guadeloupe,North America,10614,162,2242,8210,8,26524,405,141058,352493,400172
Guatemala,North America,183014,6578,168627,7809,5,10085,362,977936,53889,18147294
Guinea Bissau,Africa,3447,52,2755,640,14,1723,26,55249,27618,2000440
Guinea,Africa,17851,103,15597,2151,24,1334,8,157587,11777,13380782
Guyana,South America,9187,207,8311,669,8,11641,262,76415,96823,789223
Haiti,North America,12664,250,10177,2237,,1101,22,54379,4729,11500021
Holy See,Europe,27,,15,12,,33666,,,,802
Honduras,North America,178925,4360,68725,105840,451,17866,435,478991,47828,10014896
Hungary,Europe,529122,17226,356679,155217,1067,54871,1786,4122541,427515,9643036
Iceland,Europe,6083,29,6027,27,1,17745,85,516342,1506249,342800
India,Asia,11409831,158892,11027543,223396,8944,8211,114,228280763,164286,1389530904
Indonesia,Asia,1425044,38573,1249947,136524,,5172,140,11664857,42332,275553769
Iran,Asia,1754933,61330,1499301,194302,3839,20708,724,11781317,139018,84746758
Iraq,Asia,763085,13788,690620,58677,458,18679,338,7419942,181628,40852352
Ireland,Europe,227316,4534,23364,199418,85,45678,911,3746076,752755,4976490
Isle Of Man,Europe,1307,26,430,851,12,15313,305,38147,446948,85350
Israel,Asia,821762,6037,788685,27040,602,89345,656,12970561,1410213,9197590
Italy,Europe,3238394,102499,2605538,530357,3157,53617,1697,44802319,741771,60399096
Jamaica,North America,31305,492,15253,15560,35,10539,166,246281,82916,2970264
Japan,Asia,447906,8590,426686,12630,327,3549,68,8946247,70888,126203100
Jordan,Asia,486470,5428,401319,79723,638,47348,528,5223283,508386,10274252
Kazakhstan,Asia,225685,2856,207371,15458,221,11919,151,8059566,425661,18934250
Kenya,Africa,113967,1918,88596,23453,109,2087,35,1373839,25163,54598005
Kuwait,Asia,210855,1179,195507,14169,219,48868,273,1914579,443722,4314813
Kyrgyzstan,Asia,86990,1484,83924,1582,16,13181,225,793782,120279,6599533
Laos,Asia,48,,42,6,,7,,121017,16466,7349525
Latvia,Europe,93959,1769,84837,7353,77,50207,945,1670193,892469,1871429
Lebanon,Asia,419953,5422,331506,83025,958,61723,797,3286266,483001,6803853
Lesotho,Africa,10530,309,3922,6299,,4888,143,63155,29317,2154183
Liberia,Africa,2030,85,1899,46,2,395,17,76815,14943,5140590
Libya,Africa,146080,2402,132697,10981,,21059,346,789394,113798,6936782
Liechtenstein,Europe,2612,55,2521,36,2,68368,1440,29848,781259,38205
Lithuania,Europe,206290,3416,192118,10756,124,76535,1267,2226748,826141,2695360
Luxembourg,Europe,57926,693,54481,2752,25,91495,1095,2249262,3552736,633107
Macedonia,Europe,112930,3340,98133,11457,124,54207,1603,567441,272374,2083314
Madagascar,Africa,21587,334,20494,759,23,766,12,128306,4552,28186960
Malawi,Africa,32864,1084,26607,5173,60,1688,56,208678,10716,19474308
Malaysia,Asia,324971,1213,308247,15511,155,9951,37,6870587,210388,32656763
Maldives,Asia,21666,64,19245,2357,179,39594,117,581192,1062112,547204
Mali,Africa,8933,363,6511,2059,,432,18,159785,7735,20656539
Malta,Europe,26748,354,23376,3018,,60465,800,758930,1715596,442371
Marshall Islands,Australia/Oceania,4,,4,0,,67,,,,59471
Martinique,North America,6928,47,98,6783,3,18472,125,108633,289642,375060
Mauritania,Africa,17457,444,16789,224,14,3687,94,186789,39450,4734777
Mauritius,Africa,747,10,592,145,,587,8,289552,227411,1273255
Mayotte,Africa,18845,137,2964,15744,23,67933,494,143569,517545,277404
Mexico,North America,2167729,194944,1711931,260854,4798,16690,1501,5776241,44472,129883602
Micronesia,Australia/Oceania,1,,1,0,,9,,,,115869
Moldova,Europe,205324,4369,179474,21481,330,50982,1085,774027,192193,4027346
